Budget Item Code,Georgian Name,Budget Item Type,English Translation
31 00,საქართველოს დაზვერვის სამსახური,SpendingAgency,Intelligence Service Of Georgia
26 04,იუსტიციის სამინისტროს სისტემის თანამშრომელთა გადამზადება და სასწავლო ცენტრის განვითარება,Program,Staff Retraining In The System Of The Ministry Of Justice And Development Of Training Centre
35 05,შრომისა და დასაქმების სისტემის რეფორმების პროგრამა,Program,Labor and employment system reform program
30 00,საქართველოს შინაგან საქმეთა სამინისტრო,SpendingAgency,Ministry of Internal Affairs
26 02,გამოძიებაზე ზედამხედველობის სახელმწიფო ბრალდების მხარდაჭერის დანაშაულის წინააღმდეგ ბრძოლისა და პრევენციის პროგრამა,Program,"Supervision On Investigation, Public Prosecution Support, Crime Fight And Prevention Program"
35 03 03 07,ნარკომანია,Program,Drug Addiction
35 03 05,დიპლომისშემდგომი სამედიცინო განათლება,Program,Potential Deficit Program Funding
37 01 12,აგროსექტორის ხელშეწყობა/განვითარება,Program,Agricultural promotion / development
33 02 02,საერთაშორისო კულტურული ურთიერთობების მხარდაჭერის ღონისძიებები,Program,Supporting Actions For International cultural Relations
25 03,რეგიონული და მუნიციპალური ინფრასტრუქტურის რეაბილიტაცია,Program,Regional And Infrastructure Rehabilitation
36 04 01,რეგიონალური ელექტროგადაცემის გაუმჯობესების პროექტი აზიის განვითარების ბანკი,Program,"Regional Power Transmission Enhancement Project the Asian Development Bank
"
26 01,სამართალშემოქმედებისა და ქვეყნის ინტერესების სამართლებრივი მხარდაჭერის მიზნით სახელმწიფო პოლიტიკის შემუშავება და მართვა,Program,State Policy Making And Management For Legislative Operation And For Protection Of Country’s Interests
32 04 01,უმაღლესი საგანმანათლებლო დაწესებულებების ხელშეწყობა,Program,Support To higher Education Institutions
32 04 05,კონსტიტუციონალიზმის კვლევა,Program,Constitutional Studies
33 04 02,კულტურული მემკვიდრეობის დაცვა,Program,Protection Of Cultural Heritage
32 06,ათასწლეულის გამოწვევა საქართველოს,Program,Millennium Challenge Georgia
35 01 03,დაავადებათა კონტროლისა და ეპიდემიოლოგიური უსაფრთხოების პროგრამის მართვა,Program,Management of Program For Disease Control And Epidemic Safety
32 03,პროფესიული განათლება,Program,Professional Training
32 04 02,"სახელმწიფო სასწავლო, სამაგისტრო გრანტები და ახალგაზრდების წახალისება",Program,Organization of Examinations
35 01 06,სასწრაფო სამედიცინო დახმარების მართვის პროგრამა,Program,Protection And Support Of Victims Of Human Trafficking
24 08,საქართველოს მიერ საერთაშორისო ხელშეკრულებებით ნაკისრი ვალდებულებების ფარგლებში საქართველოს აეროპორტებში საჰაერო ხომალდების აფრენა დაფრენისათვის საჭირო მომსახურების ხარჯების ანაზღაურება მათ შორის წინა წლებში წარმოქმნილი დავალიანებების დაფარვა,Program,Compensation Of Landing Fees Committed By Georgia Within International Agreements (Including For The Arrears Accrued In Previous Years)
45 00,საქართველოს საპატრიარქო,SpendingAgency,Patriarchy Of Georgia
33 02 03,სახალხო არტისტების სახალხო მხატვრებისა და ლაურეატების სტიპენდიები,Program,"Scholarships For People's Artists, People's Painters and Laureates"
27 00,"საქართველოს სასჯელაღსრულების, პრობაციისა და იურიდიული დახმარების საკითხთა სამინისტრო",SpendingAgency,Ministry of Corrections of Georgia
37 02,სურსათის უვნებლობა მცენარეთა დაცვა და ეპიზოოტიური კეთილსაიმედოობა,Program,"Food Safety, Protection Of Plants And Epidemic Zoology Safety"
36 03 03,ენერგეტიკის ინფრასტრუქტურის განვითარება (ამერიკის შეერთებული შტატების საერთაშორისო განვითარების სააგენტო),Program,"Energy Infrastructure Development (The United States Agency for International Development)
"
35 03 04 04,დიალიზი და თირკმლის ტრანსპლანტაცია,Program,Dialysis and Kidney Transplantation
30 02,"ეროვნული საგანძურის, დიპლომატიური წარმომადგენლობებისა და საპატრიარქოს დაცვის უსაფრთხოების დონის ამაღლება",Program,Improved Security Of National Treasure And Diplomatic Corps
09 02,მოსამართლეებისა და სასამართლოს თანამშრომლების მომზადება გადამზადება,Program,Trainings and Retrainings Of Judges and Staff
35 03 03 09,დედათა და ბავშვთა ჯანმრთელობა,Program,Dialyze And Kidney Transplantation
29 01,შეიარაღებული ძალების მზადყოფნის შენარჩუნება და ამაღლება,Program,Maintained And Improved Preparedness Of Armed Forces
45 04,"საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ, უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი",Program,"Grant For St. Nino's Orphaned, Abandoned And Homeless Children's Boarding House"
24 01 01,ეკონომიკური პოლიტიკის შემუშავება განხორციელება და სახელმწიფო ქონების პრივატიზება,Program,"Economic Policy Making, Implementation And Privatization Of State Property"
35 03 02 01,დაავადებათა ადრეული გამოვლენა და სკრინინგი,Program,Early Identification And Screening Of Diseases
32 04 03,"სახელმწიფო სასწავლო, სამაგისტრო გრანტები და ახალგაზრდების წახალისება",Program,Support Of Science And Scientific Research
45 10,ა ა იპ – სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,Program,Grant For NNLP Rehabilitation And Adaptation Centre For Children With Hear Impairment
35 02 01,საპენსიო უზრუნველყოფა,Program,Payment of Pensions
36 02 04,ენერგეტიკის ინფრასტრუქტურის განვითარება (USAID),Program,Energy Infrastructure Development (USAID)
35 03 03 01,ფსიქიკური ჯანმრთელობა,Program,Psychic Healthcare
51 11 07,აჭარის მყარი ნარჩენების პროექტი (EBRD),Program,Adjara Solid Waste Project (EBRD)
